City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Saint George,US,37.1041,-113.5841,74.79,12,12,3.0,few clouds
166,Jinchang,CN,38.4953,102.1739,66.87,25,82,2.04,broken clouds
167,Balkanabat,TM,39.5108,54.3671,63.88,42,0,9.51,clear sky
168,Longyearbyen,SJ,78.2186,15.6401,37.24,70,75,6.91,broken clouds
169,Bengkulu,ID,-3.8004,102.2655,76.6,89,100,3.89,overcast clouds
170,Charters Towers,AU,-20.1,146.2667,61.45,89,75,9.06,broken clouds
171,Deputatskiy,RU,69.3,139.9,29.86,93,100,0.96,overcast clouds
172,Alcudia,ES,39.8532,3.1214,76.95,50,13,2.04,few clouds
173,Hofn,IS,64.2539,-15.2082,48.81,85,100,9.04,overcast clouds
174,Lebu,CL,-37.6167,-73.65,55.44,80,88,8.55,overcast clouds
175,Sisimiut,GL,66.9395,-53.6735,38.37,66,100,6.6,overcast clouds
176,College,US,64.8569,-147.8028,66.47,38,95,1.99,overcast clouds
177,Bulawayo,ZW,-20.15,28.5833,53.37,34,2,5.19,clear sky
178,Paka,MY,4.6374,103.4368,78.73,100,100,0.0,overcast clouds
179,Axim,GH,4.8699,-2.2405,77.0,89,100,12.62,moderate rain
180,Windham,US,41.8334,-72.0001,91.02,64,100,6.04,overcast clouds
181,Sadovoye,RU,47.7764,44.5089,49.37,96,100,12.93,light rain
182,Matara,LK,5.9485,80.5353,78.69,88,49,9.33,scattered clouds
183,Tuatapere,NZ,-46.1333,167.6833,47.66,88,98,15.55,light rain
184,Meulaboh,ID,4.1363,96.1285,77.88,88,100,2.44,overcast clouds
185,Taoudenni,ML,22.6783,-3.9836,100.36,6,4,11.72,clear sky
186,Pierre,US,44.3683,-100.351,54.05,49,100,20.0,overcast clouds
187,Beringovskiy,RU,63.05,179.3167,35.02,91,100,7.11,overcast clouds
188,La Paz,BO,-16.5,-68.15,62.58,14,40,10.36,scattered clouds
189,Lorengau,PG,-2.0226,147.2712,82.0,78,100,7.27,overcast clouds
190,Udachnyy,RU,66.4167,112.4,44.46,65,23,3.49,few clouds
191,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,69,100,8.05,overcast clouds
192,Manggar,ID,-2.8833,108.2667,80.89,79,100,2.57,overcast clouds
193,Puerto Carreno,CO,6.189,-67.4859,88.32,54,100,6.67,overcast clouds
194,Ajaccio,FR,42.0,8.9167,66.18,73,0,4.61,clear sky
195,Sorland,NO,67.667,12.6934,42.66,89,63,8.68,broken clouds
196,Dandong,CN,40.1292,124.3947,54.05,96,49,1.95,scattered clouds
197,Amapa,BR,1.0,-52.0,75.51,97,100,2.51,overcast clouds
198,Forio,IT,40.7342,13.8646,70.09,76,11,1.01,few clouds
199,Abu Samrah,SY,35.3029,37.1841,76.78,14,99,9.33,overcast clouds
200,Pontianak,ID,-0.0333,109.3333,78.78,94,100,2.3,overcast clouds
201,Jumla,NP,29.2747,82.1838,51.37,78,7,3.94,clear sky
202,Mount Isa,AU,-20.7333,139.5,64.17,68,40,5.75,scattered clouds
203,Port Elizabeth,ZA,-33.918,25.5701,60.31,84,10,1.99,clear sky
204,Kavieng,PG,-2.5744,150.7967,81.99,71,100,10.96,overcast clouds
205,Xuanhua,CN,40.6103,115.0447,70.83,25,94,0.31,overcast clouds
206,Faanui,PF,-16.4833,-151.75,80.33,72,17,10.47,few clouds
207,Diapaga,BF,12.0708,1.7889,92.05,37,27,9.04,scattered clouds
208,Roald,NO,62.5833,6.1333,52.72,87,75,9.22,broken clouds
209,Varzelandia,BR,-15.7014,-44.0275,81.86,16,7,0.29,clear sky
210,Tomatlan,MX,19.9333,-105.25,96.03,29,0,10.78,clear sky
211,Smalininkai,LT,55.0735,22.5793,47.62,95,100,11.27,overcast clouds
212,Akyab,MM,20.15,92.9,84.2,78,96,1.97,overcast clouds
213,Almenara,BR,-16.1836,-40.6944,80.83,38,3,3.31,clear sky
214,Faya,SA,18.3851,42.4509,72.66,16,4,6.11,clear sky
215,Poya,NC,-21.35,165.15,73.47,91,85,5.55,overcast clouds
216,Rorvik,NO,64.8621,11.2373,48.24,87,100,8.12,overcast clouds
217,Provideniya,RU,64.3833,-173.3,49.8,51,96,12.21,overcast clouds
218,Sampit,ID,-2.5333,112.95,75.0,95,100,1.86,overcast clouds
219,Olinda,BR,-8.0089,-34.8553,82.13,74,20,14.97,few clouds
220,Usinsk,RU,65.9939,57.5281,33.49,71,100,19.95,overcast clouds
221,Micomeseng,GQ,2.1462,10.6164,70.9,98,100,2.42,light rain
222,Marzuq,YE,14.4,46.4667,79.38,26,39,3.49,scattered clouds
223,Gorontalo,ID,0.5412,123.0595,75.74,96,100,1.14,light rain
224,Grasse,FR,43.6667,6.9167,65.19,82,0,2.3,clear sky
225,Kangaatsiaq,GL,68.3065,-53.4641,31.91,88,100,8.9,overcast clouds
226,Souillac,MU,-20.5167,57.5167,73.89,73,0,12.19,clear sky
227,New Norfolk,AU,-42.7826,147.0587,43.92,87,18,2.53,few clouds
228,Pangnirtung,CA,66.1451,-65.7125,37.26,80,100,12.33,overcast clouds
229,Gopamau,IN,27.55,80.2833,90.68,22,84,3.91,broken clouds
230,Shimoda,JP,34.6667,138.95,60.8,87,100,10.63,overcast clouds
231,Vinh,VN,18.6667,105.6667,75.96,96,100,6.08,moderate rain
232,Yazykovo,RU,55.2199,56.1353,38.93,87,100,9.89,overcast clouds
233,Anadyr,RU,64.75,177.4833,33.01,95,87,5.99,overcast clouds
234,Bandar-E Anzali,IR,37.4727,49.4622,57.24,84,0,7.65,clear sky
235,Suharau,RO,48.1333,26.4167,67.46,52,100,16.33,overcast clouds
