City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Kupino,RU,70.54,overcast clouds,54.3663,77.2981,Hotel Sibiria Inn
567,Takoradi,GH,77.72,moderate rain,4.8845,-1.7554,Raybow International Hotel
570,Isangel,VU,78.19,overcast clouds,-19.55,169.2667,Tanna Lodge
571,Ambilobe,MG,74.39,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
573,Resistencia,AR,75.06,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
574,Vallenar,CL,78.96,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
575,Nalhati,IN,85.42,clear sky,24.3,87.8167,GAMING EVO
577,Nimes,FR,76.75,clear sky,43.8333,4.35,Hôtel Cesar
580,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
581,Kuching,MY,75.42,scattered clouds,1.55,110.3333,Hilton Kuching
582,Isla Vista,US,77.0,broken clouds,34.4133,-119.861,Best Western Plus South Coast Inn
585,Alappuzha,IN,79.95,broken clouds,9.49,76.3264,Panoramic Sea Resort
586,California City,US,77.4,clear sky,35.1258,-117.9859,Best Western California City Inn & Suites
587,Saint-Francois,FR,76.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
590,Dawei,MM,77.58,overcast clouds,14.0833,98.2,Hotel Dawei
591,Cabinda,AO,75.94,clear sky,-5.55,12.2,Hotel Maiombe
592,Labuhan,ID,78.22,overcast clouds,-6.8844,112.2051,DoubleFAG
595,Los Chiles,CR,89.15,broken clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
596,Linfen,CN,72.95,overcast clouds,36.0889,111.5189,Suoxing Hotel
599,Gushikawa,JP,70.83,clear sky,26.3544,127.8686,Kirari Guest House
604,Pahrump,US,76.84,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
608,Rincon,US,87.76,broken clouds,32.296,-81.2354,Days Inn Rincon
610,Sabang,ID,83.68,overcast clouds,5.8933,95.3214,Hotel Citra
612,Alghero,IT,71.69,clear sky,40.5589,8.3181,Smy Carlos V Alghero
625,Ibra,OM,87.84,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
627,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
629,Pacific Grove,US,71.35,haze,36.6177,-121.9166,Lovers Point Inn
631,Porto Recanati,IT,75.97,clear sky,43.4365,13.6613,Hotel Il Brigantino
632,Kalmunai,LK,82.09,overcast clouds,7.4167,81.8167,VS Villa
637,Vilhena,BR,83.89,scattered clouds,-12.7406,-60.1458,Hotel Mirage
640,San Jose Del Guaviare,CO,82.13,broken clouds,2.5729,-72.6459,Hotel Aeropuerto
642,Salamiyah,SY,77.09,overcast clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
643,Benidorm,ES,76.32,overcast clouds,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
650,Buala,SB,79.41,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
651,Ingham,US,71.17,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
652,Puerto Parra,CO,87.71,few clouds,6.6515,-74.0573,Casa Hotel Villa Johana
661,Buritis,BR,83.03,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
666,Kiunga,PG,71.64,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
667,Honiara,SB,77.29,few clouds,-9.4333,159.95,Heritage Park Hotel
668,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
669,Aguazul,CO,81.34,broken clouds,5.1728,-72.5471,CENTRO VACACIONAL & HOTEL CAMPESTRE LAGO CENTER
674,Ixtapa,MX,81.63,clear sky,20.7,-105.2,hotel la terminal
675,Shekhupura,PK,87.85,clear sky,31.7131,73.9783,Best Holidays Inn
