City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Porto Walter,BR,2022-05-21 02:11:12,-8.2686,-72.7439,294.25,76,100,0.63
272,Imbituba,BR,2022-05-21 02:12:12,-28.24,-48.6703,288.63,98,4,1.56
273,Yeppoon,AU,2022-05-21 02:12:12,-23.1333,150.7333,291.03,93,100,7.98
274,Dengzhou,CN,2022-05-21 02:12:13,37.8086,120.7508,296.89,44,0,6.88
275,Yulara,AU,2022-05-21 02:12:13,-25.2406,130.9889,291.98,42,88,5.14
276,Turulung,RO,2022-05-21 02:12:14,47.9333,23.0833,285.31,75,91,2.25
277,Brae,GB,2022-05-21 02:12:14,60.3964,-1.353,283.27,92,100,4.08
278,Zyryanka,RU,2022-05-21 02:12:14,65.75,150.85,286.15,38,100,7.83
279,Teguldet,RU,2022-05-21 02:07:42,57.3064,88.1667,288.1,61,54,5.84
280,Los Llanos De Aridane,ES,2022-05-21 02:12:15,28.6585,-17.9182,291.01,85,0,3.6
281,Foshan,CN,2022-05-21 02:12:16,23.0268,113.1315,301.45,70,90,2.18
282,Gravdal,NO,2022-05-21 02:12:16,68.1214,13.5031,280.5,98,100,3.02
283,Chapais,CA,2022-05-21 02:12:17,49.7834,-74.8492,291.71,75,100,8.1
284,Saint George,US,2022-05-21 02:12:17,37.1041,-113.5841,293.68,12,1,5.36
285,Cidreira,BR,2022-05-21 02:12:17,-30.1811,-50.2056,285.22,84,4,2.39
286,Palu,ID,2022-05-21 02:12:18,-0.8917,119.8707,301.51,82,82,0.34
287,Mogadishu,SO,2022-05-21 02:12:18,2.0371,45.3438,299.45,81,61,6.77
288,Piacabucu,BR,2022-05-21 02:12:19,-10.4056,-36.4344,298.1,85,100,4.36
289,Mehamn,NO,2022-05-21 02:12:19,71.0357,27.8492,277.1,89,100,5.44
290,Bom Jesus,BR,2022-05-21 02:12:19,-9.0744,-44.3586,296.77,55,77,0.78
291,Cairns,AU,2022-05-21 02:12:20,-16.9167,145.7667,302.1,72,40,5.14
292,Bardiyah,LY,2022-05-21 02:03:20,31.7561,25.0865,289.72,68,1,5.03
293,Quatre Cocos,MU,2022-05-21 02:03:18,-20.2078,57.7625,297.09,73,51,7.98
294,Matay,EG,2022-05-21 02:12:20,28.419,30.7792,292.21,69,96,6.16
295,Turayf,SA,2022-05-21 02:12:12,31.6725,38.6637,293.75,33,99,7.24
